;Status legend;Reviewed legend;;
;out;AI written;;
;? = unsure if in;human written;;
;empty = in, but no priority;;;
;next to go;;;
;good to go;;;
;published;;;
;;;;
;;;;
Term;Status;Reviewed?;Description;Intelligence brief linked
DAO;?;;;
DAPP ;?;;;
DEFI;?;;;
Don't Trust, Verify;?;;;
Electronic Cash;?;;;
FOMO;?;;;
Fractional Reserve Banking;?;;;
FUD;?;;;
ICO;?;;;
IEO;?;;;
inflation / deflation;?;;;
IPO;?;;;
Nixon Shock;?;;;
Not Your Keys, Not Your Coins;?;;;
Ordinals;?;;;
OTC;?;;;
Proof of Stake (POS);?;AI written;Proof of Stake is a consensus mechanism where block creation rights are assigned based on ownership of the native asset, rather than computational work. Unlike Proof-of-Work, PoS lacks an external cost anchor, making it vulnerable to different security trade-offs.;
RGB Protocol;?;;;
Runes Protocol;?;;;
Supply;?;;;
Tether;?;;;
Token;?;;;
51 percent attack;good to go;human written;A 51 percent attack occurs when a single entity controls more than half of the network’s total hash rate. This allows the attacker to create a competing blockchain that outpaces the honest chain, enabling double spending and transaction censorship. The attack does not permit creation of invalid coins or breaking of cryptography but undermines confidence in the immutability of the ledger. Today, a 51 percent attack is practically inconceivable given the immense computational power it would require to outpace Bitcoin's current hashrate.;
Atomic Swap;good to go;human written;An atomic swap is a protocol that enables two parties to exchange assets across different blockchains without a trusted intermediary. It relies on hash time-locked contracts (HTLCs), which ensure that the transaction is completed within the set timeframe. There are two types of atomic swaps: on-chain swaps between two different cryptocurrencies on two seperate blockchains, and off-chain swaps on second-layer channels off a main blockchain, such as the Lightning Network.;002
Bitcoin Core;good to go;human written;Bitcoin Core is the open-source reference software implementation of the Bitcoin protocol. It provides a full node that enforces consensus rules by validating transactions and blocks. Although it is widely used, Bitcoin Core is not the only implementation of the Bitcoin protocol.;
Block;good to go;human written;A block is a data structure in the Bitcoin blockchain containing a set of validated transactions, a reference to the previous block’s hash, and a nonce satisfying the current difficulty target. Blocks are produced by miners via Proof-of-Work and linked together to form the immutable ledger.;
Block Fee;good to go;human written;A block fee is the total sum of transaction fees payed in a block. Together with the block subsidy, it constitutes the block reward received by the miner. Fees are determined by the difference between input and output values in a transaction.;
Block Hash;good to go;human written;A block hash is the output of applying the SHA-256 hash function twice to the block header. It uniquely identifies a block and must lie below the current difficulty target for the block to be considered valid. Because of the preimage resistance of the hash function, the only way to find a valid block hash is through brute-force computation in the Proof-of-Work process. This ensures that the Bitcoin blockchain is secured by computational power.;
Block Header;good to go;human written;The block header is an 80-byte metadata structure summarizing a block. It contains the previous block’s hash, the Merkle root of included transactions, the timestamp, the difficulty target, and the nonce. Miners repeatedly modify the nonce when performing Proof-of-Work.;
Block Height;good to go;human written;The block height is the sequential number of a block in the blockchain, starting with the genesis block at height 0. It serves as a reference point for blocks and is used to measure blockchain length. The consensus mechanism of Bitcoin ensures that the highest valid chain by accumulated work is accepted.;
Block Reward;good to go;human written;The block reward is the incentive given to a miner for appending a valid block to the blockchain. It consists of the block subsidy and the collected block fees. Over time, the subsidy decreases via scheduled halvings, shifting reliance to transaction fees.;
Block Subsidy;good to go;human written;The block subsidy is the newly issued bitcoin in each block. It began at 50 bitcoin and is reduced by half every 210,000 blocks in the halving process. Eventually, the subsidy will reach zero, leaving only transaction fees as miner incentives.;
Block Time;good to go;human written;The block time is the average interval between successive blocks added to the Bitcoin blockchain. The protocol targets a block time of 10 minutes by adjusting the difficulty every 2016 blocks to match the prevailing hashrate. While the expected average is 10 minutes, actual block intervals vary due to the probabilistic nature of Proof-of-Work.;
Blockchain;good to go;human written;A blockchain is a sequential chain of  blocks, which are cryptographically linked by blocks hashes. It serves as a public, append-only ledger of all transactions. In Bitcoin, the blockchain is secured by Proof-of-Work, making historical records computationally infeasible to alter.;
Coinbase Transaction;good to go;human written;A coinbase transaction is the first transaction in each block, created by the successful miner. It has no inputs and pays the block reward to the miner. The coinbase field may also include arbitrary data such as extra nonces or text messages.;
Consensus Mechanism;good to go;human written;A consensus mechanism is a set of rules by which distributed systems agree on a single valid state of the ledger. In Bitcoin, consensus arises from block validation rules and the rule to accept the chain with the most accumulated Proof-of-Work.;
Debt-deflation dynamic;good to go;human written;The debt-deflation dynamic describes a self-reinforcing cycle in which falling prices increase the real burden of outstanding debt. As prices and nominal incomes decline, the fixed nominal value of debt and interest payments becomes harder to service. This strain leads to defaults and deleveraging, reducing aggregate demand and pushing prices down further. The resulting credit contraction and bankruptcies amplify the process, creating a deflationary spiral that can destabilize the entire financial system.;004
Difficulty;good to go;human written;The Block difficulty is a measure of how hard it is to find a valid block hash that meets the current difficulty target. A block is only valid if its hash lies below a certain threshhold, known as the difficulty target. The difficulty target is adjusted every 2016 blocks, which correspond to approximately 2 weeks, to maintain an average block time of 10 minutes.;
Full Node;good to go;human written;A full node is software that independently validates all transactions and blocks against consensus rules. Full nodes enforce the protocol and maintain the UTXO set. Running a full node is essential for verifying Bitcoin without trusting third parties.;
Genesis Block;good to go;human written;The genesis block is the first block in the Bitcoin blockchain, mined by Satoshi Nakamoto on January 3, 2009. It has a block height of 0 and contains a message referencing a newspaper headline about bank bailouts. Its structure is hardcoded in every Bitcoin client.;
Halving;good to go;human written;A halving is the scheduled reduction of the block subsidy by 50% every 210,000 blocks, which corresponds to approximately every four years. The halvings ensure the fixed supply of about 21 million bitcoin (20,999,999.9769 BTC to be exact) that will ever exist.;
